"明ける","あける","akeru","to dawn,to become daylight"
"暗記","あんき","anki","memorization; learning by heart"
"分析","ぶんせき","bunseki","analysis"
"出会う","であう","deau","to meet (by chance); to come across; to run across; to encounter"
"読書","どくしょ","dokusho","reading"
"努力","どりょく","doryoku","effort; exertion; endeavor; hard work; striving"
"不足","ふそく","fusoku","insufficiency; shortage; deficiency; lack; dearth"
"外出","がいしゅつ","gaishutsu","going out; outing; leaving (one's home, office, etc.)"
"学問","がくもん","gakumon","scholarship; study; learning"
"学習","がくしゅう","gakushuu","study; learning; tutorial"
"販売","はんばい","hanbai","sales; selling; marketing"
"発明","はつめい","hatsumei","invention"
"外す","はずす","hazusu","to remove; to undo; to drop; to miss"
"一言","ひとこと","hitokoto","single word; a few words; brief comment"
"一致","いっち","icchi","agreement; union; match​; coincidence"
"邪魔","じゃま","jama","hindrance"
"会合","かいごう","kaigou","meeting; assembly; gathering; association"
"開始","かいし","kaishi","start; commencement; beginning; initiation​"
"記念","きねん","kinen","commemoration; celebration; honoring the memory of something"
"気に入る","きにいる","kiniiru","to like; to take a liking to"
"記入","きにゅう","kinyuu","entry; filling in; filling out"
"記憶","きおく","kioku","memory; recollection; remembrance"
"期待","きたい","kitai","expectation; anticipation; hope"
"転ぶ","ころぶ","korobu","to fall down; to fall over"
"訓練","くんれん","kunren","training; drill; practice; discipline"
"協力","きょうりょく","kyouryoku","cooperation; collaboration"
"吸収","きゅうしゅう","kyuushuu","absorption; suction; attraction"
"学ぶ","まなぶ","manabu","to study (in depth); to learn; to take lessons in"
"満足","まんぞく","manzoku","satisfaction; contentment;​ sufficient; enough"
"味方","みかた","mikata","friend; ally; supporter; taking sides with; supporting"
"入場","にゅうじょう","nyuujou","entrance; admission; entering"
"収める","おさめる","osameru","to supply; to dedicate; to make an offering; to pay"
"連続","れんぞく","renzoku","continuation; succession; series"
"利益","りえき","rieki","profit; gains; benefit"
"留学","りゅうがく","ryuugaku","studying abroad"
"左右","さゆう","sayuu","left and right"
"成長","せいちょう","seichou","growth; development; growing up; becoming an adult"
"刺激","しげき","shigeki","stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill"
"進学","しんがく","shingaku","entering a higher-level school (often university)"
"使用","しよう","shiyou","use; application; employment; utilization."
"証明","しょうめい","shoumei","proof; verification; certification"
"招待","しょうたい","shoutai","invitation"
"集中","しゅうちゅう","shuuchuu","concentration; focusing; centralization; integration"
"収穫","しゅうかく","shuukaku","harvest; crop; fruits (of one's labors)"
"徹夜","てつや","tetsuya","staying up all night"
"取れる","とれる","toreru","to come off; to be removed; to be obtainable"
"取り上げる","とりあげる","toriageru","to pick up"
"通学","つうがく","tsuugaku","commuting to school; school commute"
"受け取る","うけとる","uketoru","to receive; to understand"
"運転","うんてん","unten","operation; driving"
"売れる","うれる","ureru","to sell (well)"
"分ける","わける","wakeru","to divide; to split; to part; to separate"
"悪口","わるぐち","waruguchi","slander; bad-mouthing; abuse; insult; speaking ill (of)"
"輸入","ゆにゅう","yunyuu","import; importation; introduction"
"輸出","ゆしゅつ","yushutsu","export; exportation​"
