"明らか","あきらか","akiraka","clear; obvious"
"新た","あらた","arata","new; fresh; novel"
"駄目","だめ","dame","no good; cannot"
"同一","どういつ","douitsu","identical; same; one and the same; equal"
"不利","ふり","furi","disadvantage; handicap; unfavorable position"
"不足","ふそく","fusoku","insufficiency; shortage; deficiency; lack; dearth"
"激しい","はげしい","hageshii","violent; extreme; intense"
"発明","はつめい","hatsumei","invention"
"意外","いがい","igai","unexpected; surprising"
"一般","いっぱん","ippan","general; universal; ordinary; average; common"
"邪魔","じゃま","jama","hindrance"
"海外","かいがい","kaigai","foreign; abroad; overseas"
"高速","こうそく","kousoku","high-speed; rapid; express"
"強力","きょうりょく","kyouryoku","powerful; strong"
"急激","きゅうげき","kyuugeki","sudden; abrupt; rapid; sharp; drastic; radical"
"急速","きゅうそく","kyuusoku","rapid (e.g. progress)"
"真面目","まじめ","majime","serious; earnest"
"真っ赤","まっか","makka","bright red; deep red; flushed (of face)"
"満足","まんぞく","manzoku","satisfaction; contentment;​ sufficient; enough"
"明確","めいかく","meikaku","clear; precise; definite; distinct"
"熱心","ねっしん","nesshin","enthusiastic; eager"
"利口","りこう","rikou","clever; intelligent; wise; bright; sharp"
"新鮮","しんせん","shinsen","fresh"
"上手い","うまい","umai","skillful; delicious"
"宜しい","よろしい","yoroshii","(respectful) OK; all right"
"有利","ゆうり","yuuri","advantageous; favorable; profitable"
"随分","ずいぶん","zuibun","very; extremely; surprisingly; considerably; awfully"
